id,total_hotel
3,1184
1,5628
5,727
2,4393
30,2708
4,5287
28,3371
31,640
27,577
26,316
24,155
23,586
22,294
25,676
2886,1
3177,14
4528,3
4646,38
5583,9
5978,6
5768,56
6464,6
6804,23
9178,236
9209,33
9621,75
9724,159
9242,43
9954,12
19882,1
20072,5
19754,7
21544,1
20190,2
21698,2
21574,37
20191,1
22798,1
21927,4
23121,3
22387,3
22956,2
22751,4
22554,2
22848,1
23193,1
23192,1
23187,1
23190,1
23186,1
23188,3
23191,6
24613,1
23189,5
24732,4
24750,1
24751,2
24752,2
24748,1
24731,2
24749,2
25756,4
25861,3
25860,41
27348,1
26200,3
26234,21
27922,2
27332,2
27755,2
29079,2
28710,8
29548,11
29114,4
29519,6
28619,2
28683,2
30841,1
30475,6
31317,6
30408,5
30072,3
31793,4
31792,3
31795,4
31791,3
31790,3
33005,1
31794,3
31788,9
32677,88
33038,89
34671,2
34899,7
34590,7
34459,14
37485,1
36764,5
36036,57
37456,6
36840,12
37559,4
37659,4
37878,105
37880,10
37882,8
37879,18
37877,4
37876,9
39399,4
39119,2
39868,1
40486,91
41749,2
42413,11
41072,7
41117,2
39960,2
41103,1
43225,1
43518,1
43180,1
42992,1
43359,1
44113,3
44931,2
44930,6
44929,1
44932,10
44927,8
44925,6
46045,7
46077,1
46410,1
46532,1
47429,1
47635,1
47557,3
46553,2
46305,2
49342,1
49269,3
49086,3
49374,2
49589,3
48814,6
51012,1
51581,2
47895,1
51013,2
51720,1
52288,1
53641,1
53834,1
54003,1
53159,5
55060,2
55222,3
56569,5
56408,53
56682,1
55945,3
55944,2
56916,1
56671,4
57567,1
57012,2
57799,2
59544,3
58323,2
60339,12
61047,5
61083,2
61966,1
61906,363
60373,8
60401,2
61216,46
62883,1
62007,3
63903,1
63902,1
64188,1
65118,1
66594,1
66907,1
65712,2
67417,1
68202,1
67105,2
68661,1
69371,1
69266,3
70883,1
69333,3
68797,3
71071,4
70937,2
71653,1
69883,2
72886,1
73117,1
72050,2
74686,1
75554,1
74981,50
75982,1
77647,1
77760,1
77845,1
73536,3
79076,1
79521,2
79691,2
79726,2
79761,1
80550,1
81872,1
83274,1
82005,1
82565,1
84028,2
83139,2
83462,1
84865,1
84866,3
87273,3
88113,4
88547,3
89563,2
89390,1
90598,1
91176,1
90599,43
92754,1
94867,1
92467,5
93647,2
95205,1
95241,2
93346,1
96205,2
98044,1
100702,1
100825,4
107909,2
110731,1
108971,3
112480,2
117779,1
117884,2
127450,1
179181,1
173590,1
170617,6
169444,1
168972,1
168344,1
166210,1
164914,1
164362,1
163144,1
160558,1
158917,1
157240,2
155793,1
155361,1
155115,1
152672,1
151602,2
151485,1
149329,1
146793,1
146078,1
144267,1
142540,1
142164,2
139927,1
138438,1
137789,1
136299,1
136269,1
135183,1
134861,1
133156,1
133060,2
133017,1
132841,1
131794,2
130570,3
130375,10
130050,1
129995,2
129054,1
129035,1
129029,1
128982,1
128962,1
128943,1
128942,3
128904,1
128861,1
128840,2
128825,1
128810,1
128827,2
128799,1
128790,1
128753,1
128659,1
128650,2
128616,1
128596,2
128575,1
128525,1
128523,3
128478,1
128409,1
128394,2
128382,1
128362,1
128334,1
128315,1
128314,2
128311,1
128312,4
128313,4
128309,1
128308,1
128302,1
128304,1
128301,1
128306,56
128295,1
128290,1
128285,2
128280,1
128267,1
128307,5
128253,1
128243,1
128240,2
128237,1
128241,1
128166,1
128148,1
128120,1
128101,2
128068,1
128043,2
128000,1
127989,1
127945,1
127874,1
127810,1
127807,1
127801,1
127797,1
127809,1
127794,3
127743,2
127726,1
127711,1
127698,1
127663,1
127624,1
127593,1
127594,1
127556,1
127538,1
127527,1
127455,1
127445,1
127431,1
127560,2
127441,2
127420,2
127395,1
127402,2
127327,1
127324,2
127154,1
127092,1
127077,1
127070,1
127149,2
127047,1
126957,1
126930,1
126912,1
126909,1
126892,1
126823,1
126818,1
126810,1
126800,1
126779,1
126772,1
126728,1
126695,1
126672,1
126607,1
126589,1
126588,1
126585,1
126583,1
126538,1
126495,1
126460,1
126448,1
126406,1
126333,1
126304,1
126299,1
126262,1
126241,1
126215,1
126204,1
126177,4
126150,3
126121,1
126198,1
126095,1
126072,1
125993,1
125983,1
125925,1
125861,1
125792,3
125770,1
125806,1
125745,1
125716,1
125702,2
125669,1
125596,1
125555,1
125483,1
125423,1
125419,1
125388,1
125360,1
125268,1
125214,1
125192,2
125221,1
125333,1
125285,1
125150,1
125144,1
125041,1
124985,1
124966,1
124956,1
124922,1
124691,1
124698,1
124605,1
124561,2
124530,1
124480,1
124488,1
124439,1
124375,1
124368,3
124242,1
124193,1
124092,2
123865,2
123810,1
123802,1
123800,1
123758,1
123722,1
123712,1
123708,3
123664,1
123523,1
123514,3
123500,1
123354,1
123345,1
123321,1
123187,2
123181,1
123008,1
122881,1
122776,1
122760,1
122709,1
122635,1
122559,4
122522,1
122401,1
122382,1
122347,1
122345,1
122120,1
122117,1
121993,1
121985,1
121925,1
121924,1
121891,1
121886,1
121864,1
121861,1
121860,1
121851,1
121859,1
121858,1
121853,11
121836,1
121833,1
121834,1
121857,5
121818,1
121814,1
121812,1
121798,1
121800,1
121754,2
121750,1
121745,2
121731,1
121732,5
121724,1
121716,1
121707,1
121705,1
121691,1
121681,1
121657,3
121625,1
121577,1
121562,1
121494,1
121380,1
121381,2
121346,1
121343,1
121341,3
121330,1
121267,1
121256,2
121233,1
121215,1
121200,1
121174,1
121135,1
121129,1
121117,1
121079,1
121026,2
121003,1
121000,1
120986,1
120988,1
120958,1
120892,1
120865,1
120858,1
120835,1
120824,1
120790,1
120791,3
120814,1
120764,1
120762,1
120743,1
120740,1
120725,4
120670,1
120660,1
120617,1
120599,1
120571,1
120559,1
120521,1
120500,1
120495,1
120494,1
120445,1
120406,1
120396,1
120385,1
120381,1
120315,1
120301,1
120280,1
120228,1
120190,1
120094,1
120084,1
120059,1
120046,1
120036,1
119903,2
119866,1
119855,1
119822,1
119807,1
119794,1
119765,1
119741,1
119718,1
119714,1
119676,1
119661,1
119654,1
119646,1
119609,4
119602,1
119585,1
119496,1
119473,1
119469,1
119467,1
119458,1
119451,2
119448,1
119443,7
119438,1
119431,1
119414,1
119380,1
119366,1
119361,2
119350,1
119342,1
119328,2
119274,1
119269,1
119251,1
119235,1
119237,1
119171,1
119151,1
119122,1
119101,1
119100,1
119019,1
119009,1
119008,1
119007,1
119001,1
118972,1
118969,1
118963,1
118901,1
118887,1
118882,1
118855,3
118830,1
118816,1
118801,1
118792,1
118781,1
118731,1
118701,1
118655,2
118636,1
118611,1
118596,1
118597,1
118586,1
118587,1
118585,1
118565,1
118543,1
118530,2
118528,1
118526,1
118507,1
118500,3
118481,1
118472,1
118468,1
118465,1
118452,1
118449,1
118439,1
118421,1
118419,1
118411,1
118410,1
118409,1
118416,1
118396,1
118391,1
118375,1
118345,3
118360,2
118338,1
118325,1
118312,1
118305,1
118304,1
118306,2
118315,1
118290,2
118276,1
118274,1
118239,1
118240,2
118246,2
118219,1
118217,1
118201,1
118197,1
118190,1
118183,1
118176,1
118155,1
118157,1
118101,1
118086,1
118079,2
118073,1
118071,1
118065,1
118057,1
118049,1
118045,1
118036,2
118028,1
118001,1
118003,1
118010,1
117979,1
117976,1
117977,3
117965,1
117962,1
117958,1
117944,1
117922,1
117917,1
117915,1
117905,1
117902,1
117901,1
117883,1
117868,1
117867,1
117865,1
117863,1
117851,1
117850,1
117826,1
117806,1
117805,1
117792,1
117789,1
117788,1
117770,1
117767,1
117734,1
117718,1
117701,1
117703,1
117700,5
117588,1
117375,1
117195,1
117019,1
116808,1
116715,1
116658,1
116357,1
116340,1
116317,1
116304,1
116264,1
115634,1
115440,1
115420,1
115125,1
114887,2
114862,1
114743,2
114660,1
114500,1
114412,1
114197,2
113869,1
113551,1
113460,1
113419,1
113274,1
113202,1
113100,1
113019,1
112612,1
112561,1
112557,1
112533,1
112486,1
112413,1
112355,1
112345,1
112339,1
112329,1
112311,1
112318,5
112151,3
112148,1
112147,1
112146,1
112149,5
112145,1
112140,1
112138,3
112144,2
112142,2
112134,1
112133,1
112131,1
112132,1
112136,4
112135,11
112137,10
112130,10
112128,74
112110,1
112097,1
112096,1
112094,1
112092,1
112093,1
112090,1
112091,1
112089,1
112088,1
112087,3
112086,3
112085,11
112084,1
112083,1
112082,3
112081,9
112079,1
112077,1
112076,1
112078,4
112066,1
112064,1
112063,1
112060,1
112061,1
112058,1
111999,1
111943,1
111926,3
111910,1
111885,1
111902,2
111856,1
111834,1
111774,1
111768,1
111675,1
111673,1
111607,1
111589,1
111579,1
111569,1
111536,1
111528,1
111511,1
111487,1
111448,1
111427,1
111397,1
111441,1
111338,1
111312,1
111335,1
111270,3
111216,1
111153,4
111143,1
111102,1
111090,1
111029,1
110953,1
110918,2
110887,1
110882,3
110883,2
110843,3
110819,2
110812,2
110783,1
110723,1
110696,1
110694,3
110691,4
110622,3
110609,2
110557,1
110533,1
110518,1
110508,1
110396,1
110359,1
110357,1
110335,1
110290,1
110232,2
110194,1
110185,2
110190,2
110167,13
110169,4
110148,1
110139,1
110130,1
110117,4
110029,1
110016,1
109981,1
109974,3
109894,1
109829,1
109745,1
109708,2
109691,1
109692,2
109679,1
109668,1
109619,1
109600,1
109566,1
109482,1
109375,2
109382,8
109334,1
109322,1
109296,1
109297,1
109299,1
109267,1
109208,4
109197,1
109171,1
109151,1
109128,2
109102,2
109084,1
109070,7
109033,1
109002,2
108961,3
108912,1
108917,3
108777,1
108772,3
108732,1
108704,2
108695,2
108641,1
108477,2
108370,1
108356,1
108309,2
108215,1
108145,2
108056,1
108030,1
108003,1
107949,1
107922,1
107808,1
107802,1
107806,2
107792,3
107720,2
107704,1
107696,1
107689,2
107676,2
107654,2
107605,1
107489,1
107408,1
107370,1
107309,1
107301,1
107237,1
107168,1
107144,2
107108,2
107099,1
107084,1
107032,1
107020,2
107001,1
106982,1
106849,1
106846,1
106831,3
106765,1
106751,1
106747,1
106599,1
106601,6
106545,1
106528,1
106480,3
106335,2
106299,1
106253,1
106233,1
106227,1
106200,4
106194,1
106152,1
106136,1
106071,1
106055,1
106019,1
105988,1
105978,1
105945,1
105949,2
105939,1
105915,1
105904,1
105892,1
105876,1
105859,1
105835,2
105726,1
105695,1
105682,3
105660,1
105612,1
105571,2
105553,2
105489,1
105480,1
105484,1
105431,1
105412,1
105377,1
105386,2
105289,2
105296,5
105240,2
105227,3
105212,1
105235,2
105173,1
105160,1
105123,1
105111,1
105103,1
105080,1
105102,2
105073,2
104970,3
104953,1
104850,2
104752,1
104736,1
104714,2
104688,1
104678,1
104644,1
104629,2
104520,1
104513,1
104484,1
104391,1
104351,5
104320,1
104303,2
104273,5
104256,1
104240,1
104225,1
104145,1
104142,1
104141,2
104139,1
104138,1
104136,1
104144,1
104134,1
104130,1
104131,1
104129,1
104127,1
104128,8
104125,3
104123,1
104124,3
104120,1
104119,1
104118,1
104117,1
104115,1
104116,1
104114,1
104112,1
104111,2
104109,1
104108,1
104110,1
104106,1
104107,6
104104,1
104105,7
104101,1
104100,1
104102,1
104098,1
104099,1
104103,3
104096,1
104093,1
104091,1
104090,2
104041,1
104042,1
104037,1
104040,4
104039,1
104035,1
104029,1
104030,2
104028,1
104036,5
104025,1
104022,1
104020,1
104024,1
104019,1
103935,1
103895,4
103833,2
103814,1
103777,1
103768,1
103763,1
103517,1
103202,1
103184,1
103063,1
103041,1
103050,2
103042,2
103017,1
102984,1
102925,1
102736,1
102598,1
102573,4
102563,1
102546,1
102513,1
102399,3
102392,1
102366,1
102319,2
102301,1
102213,1
102112,2
102104,1
102054,1
101909,1
101891,1
101841,1
101817,1
101479,1
101461,1
101375,5
101194,3
101193,2
101195,2
101187,1
101186,1
101188,4
101189,3
101182,1
101183,3
101185,3
101181,1
101180,2
101177,1
101178,1
101179,70
101173,1
101176,3
101170,1
101169,1
101175,13
101172,3
101171,15
101167,2
101174,14
101164,1
101157,2
101147,1
101136,1
101138,1
101140,1
101162,1
101133,1
101131,1
101130,1
101126,2
101114,1
101107,1
101102,1
101098,2
101097,1
101101,1
101095,1
101084,1
101083,1
101077,1
101073,1
101071,1
101069,2
101063,1
101050,1
101047,3
101044,1
101043,1
101040,1
101042,1
101038,1
101036,1
101030,1
101017,1
101020,1
101012,1
101013,1
100998,1
100995,1
100993,1
100986,1
100987,1
100966,1
100964,1
100961,1
100960,1
100957,1
100955,1
100953,1
100951,1
100941,1
100942,1
100931,1
100928,2
100927,2
100926,2
100932,1
100923,3
100922,3
100921,3
100920,1
100919,1
100917,1
100918,1
100916,4
100915,2
100914,1
100913,2
100912,2
100910,1
100909,4
100907,2
100906,2
100905,2
100903,2
100911,1
100902,2
100901,3
100899,1
100900,2
100898,1
100895,2
100894,2
100897,3
100893,1
100891,1
100892,4
100886,2
100883,3
100884,4
100880,1
100881,5
100879,3
100878,5
100876,1
100877,2
100873,1
100875,1
100872,2
100871,1
100870,1
100869,1
100867,1
100868,3
100866,1
100865,2
100863,1
100862,1
100860,1
100861,3
100858,1
100857,1
100855,1
100853,1
100854,1
100852,1
100851,1
100850,3
100848,5
100847,1
100844,1
100845,1
100843,1
100840,1
100841,2
100839,1
100838,3
100837,2
100834,1
100835,2
100836,4
100833,1
100832,1
100830,1
100831,3
100829,4
100828,5
100824,2
100822,1
100820,1
100821,4
100818,2
100819,6
100814,1
100812,2
100811,1
100809,2
100808,1
100807,1
100806,1
100805,1
100804,1
100815,2
100817,4
100803,1
100800,1
100802,2
100801,1
100799,1
100790,1
100788,3
100786,1
100785,1
100783,1
100784,1
100782,1
100779,1
100778,1
100780,2
100773,2
100768,1
100770,1
100766,1
100769,1
100771,2
100764,1
100762,1
100761,2
100757,3
100759,7
100760,4
100758,11
100756,4
100755,14
100751,1
100754,55
100775,1
100715,1
100719,1
100714,1
100716,2
100711,1
100709,1
100710,1
100713,1
100707,1
100703,1
100699,1
100695,1
100694,1
100691,1
100690,1
100687,1
100684,1
100677,1
100678,1
100676,1
100674,1
100673,1
100672,1
100667,1
100665,1
100669,2
100662,1
100660,1
100649,1
100647,1
100656,1
100654,1
100645,1
100643,1
100642,1
100640,1
100644,1
100636,1
100634,1
100628,1
100637,1
100638,2
100624,1
100623,1
100622,1
100619,1
100620,2
100614,1
100612,1
100615,1
100625,2
100611,4
100604,1
100609,2
100600,1
100597,1
100601,27
100591,1
100593,1
100592,1
100566,1
100570,8
99596,2
99583,1
99571,1
99565,1
99551,1
99546,1
99540,1
99533,1
99527,3
99505,1
99465,1
99444,1
99469,2
99409,1
99386,1
99396,3
99380,1
99358,3
99350,1
99342,1
99344,1
99317,1
99295,1
99283,1
99257,1
99244,1
99254,21
99223,1
99220,1
99222,1
99216,1
99215,1
99212,1
99219,3
99210,2
99213,2
99199,1
99197,1
99196,1
99201,2
99194,1
99190,1
99195,2
99188,1
99186,1
99187,1
99189,2
99183,1
99180,1
99184,2
99181,1
99179,1
99185,3
99175,1
99173,1
99172,1
99170,1
99168,1
99166,1
99167,1
99164,1
99160,1
99159,1
99155,1
99150,1
99146,1
99147,1
99143,1
99142,1
99141,1
99137,1
99140,2
99136,4
99135,4
99129,1
99132,2
99126,1
99128,2
99120,1
99119,1
99124,3
99117,1
99114,1
99113,1
99118,5
99111,1
99110,1
99105,1
99101,1
99107,2
99094,1
99099,3
99089,1
99095,3
99085,1
99096,2
99092,3
99087,2
99088,2
99078,1
99075,1
99072,1
99073,1
99069,1
99068,1
99064,1
99066,2
99061,1
99062,1
99063,1
99059,1
99065,5
99055,1
99052,1
99053,1
99049,1
99047,1
99046,1
99044,1
99041,1
99039,1
99037,1
99043,2
99035,1
99036,1
99031,1
99022,1
99023,1
99028,1
99021,1
99018,1
99015,1
99013,1
99011,1
99006,1
99004,1
99002,1
99001,2
98995,1
99000,2
98986,1
98983,1
98988,1
98981,1
98980,1
98976,1
98968,1
98967,1
98963,1
98959,1
98957,1
98962,1
98956,1
98958,2
98960,3
98944,1
98949,1
98946,3
98943,1
98939,1
98938,1
98930,1
98928,1
98935,3
98925,1
98923,1
98922,1
98927,2
98920,1
98918,1
98915,1
98916,1
98913,1
98919,3
98917,3
98912,1
98910,1
98907,1
98911,2
98901,1
98900,1
98898,1
98906,3
98897,4
98896,2
98891,1
98890,1
98888,1
98926,1
98885,2
98875,1
98874,1
98869,1
98877,2
98865,1
98873,2
98868,2
98863,1
98859,1
98857,1
98855,1
98853,1
98850,1
98851,1
98854,3
98846,1
98849,2
98844,1
98839,1
98841,1
98830,1
98828,1
98827,1
98836,3
98826,1
98824,1
98823,1
98833,2
98840,2
98816,1
98812,1
98811,1
98810,1
98815,2
98803,1
98804,1
98801,1
98797,1
98796,2
98794,3
98787,1
98795,2
98782,1
98780,1
98785,1
98775,1
98778,4
98772,2
98770,1
98759,1
98764,1
98756,1
98762,2
98765,2
98755,1
98758,1
98754,1
98757,2
98750,1
98749,1
98746,1
98753,3
98744,1
98747,2
98740,1
98741,1
98737,1
98734,1
98733,1
98729,1
98760,1
98736,1
98717,1
98714,1
98713,1
98711,1
98710,1
98702,1
98699,1
98700,1
98698,1
98696,1
98705,2
98695,1
98693,1
98697,2
98688,1
98691,2
98685,1
98690,5
98682,1
98681,1
98686,1
98678,1
98675,1
98673,1
98670,1
98667,1
98671,4
98694,3
98657,1
98656,1
98655,1
98658,2
98652,1
98646,1
98645,1
98642,1
98633,1
98635,1
98616,2
98612,1
98647,1
98654,1
98624,1
98651,2
98607,1
98608,1
98606,1
98598,1
98594,1
98595,1
98592,1
98588,1
98587,1
98577,1
98557,1
98554,1
98547,1
98529,1
98531,1
98526,1
98514,1
98512,2
98509,1
98506,1
98515,3
98501,1
98496,1
98480,1
98491,2
98469,1
98459,1
98456,1
98446,1
98441,1
98437,1
98434,1
98444,2
98436,2
98411,1
98408,1
98403,1
98401,1
98394,1
98375,1
98382,2
98372,1
98366,1
98381,2
98364,1
98355,1
98356,1
98343,1
98346,3
98352,3
98317,1
98313,1
98289,1
98282,1
98275,1
98274,1
98276,5
98269,1
98266,1
98267,1
98264,6
98259,1
98258,4
98256,1
98253,1
98252,2
98232,1
98230,1
98227,1
98228,1
98226,1
98224,1
98220,1
98217,1
98216,4
98213,1
98212,1
98211,9
98208,1
98207,1
98204,1
98202,2
98198,2
98196,1
98193,1
98192,1
98194,1
98191,1
98188,1
98183,1
98184,1
98182,1
98186,2
98181,1
98185,12
98178,1
98179,2
98172,1
98173,8
98164,1
